,speaker,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,season,top1_prop,top2_prop,top3_prop,top4_prop,top5_prop,top6_prop,top7_prop,top8_prop,top9_prop,top10_prop,top11_prop,top12_prop,top13_prop,top14_prop,top15_prop
111,Phyllis,streamer,well,maybe,could,season,fun,blue,decoration,school,like,downsizing,say,green,there,thats,1,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564
112,Phyllis,michael,dont,thats,room,dwight,like,get,youre,thought,time,love,going,know,one,come,2,0.022113022113022112,0.014742014742014743,0.014742014742014743,0.014742014742014743,0.012285012285012284,0.012285012285012284,0.012285012285012284,0.012285012285012284,0.012285012285012284,0.009828009828009828,0.009828009828009828,0.009828009828009828,0.009828009828009828,0.009828009828009828,0.009828009828009828
113,Phyllis,michael,bob,know,get,like,vance,time,thought,ill,guy,really,got,think,dont,dwight,3,0.02832244008714597,0.017429193899782137,0.015250544662309368,0.015250544662309368,0.013071895424836602,0.010893246187363835,0.010893246187363835,0.010893246187363835,0.010893246187363835,0.010893246187363835,0.010893246187363835,0.010893246187363835,0.010893246187363835,0.010893246187363835,0.008714596949891068
114,Phyllis,michael,get,sorry,well,shes,dont,know,youre,thats,cant,like,thing,go,time,season,4,0.02531645569620253,0.02109704641350211,0.016877637130801686,0.014767932489451477,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.010548523206751054,0.010548523206751054,0.010548523206751054,0.010548523206751054,0.010548523206751054,0.008438818565400843,0.008438818565400843
115,Phyllis,dwight,think,dont,michael,bob,know,party,going,client,like,need,andy,u,look,said,5,0.01982651796778191,0.01734820322180917,0.01486988847583643,0.013630731102850062,0.013630731102850062,0.011152416356877323,0.011152416356877323,0.009913258983890954,0.008674101610904586,0.008674101610904586,0.008674101610904586,0.008674101610904586,0.008674101610904586,0.008674101610904586,0.007434944237918215
116,Phyllis,michael,dont,know,good,ho,think,youre,bob,get,well,season,mean,put,stanley,santa,6,0.037037037037037035,0.024154589371980676,0.01932367149758454,0.01610305958132045,0.014492753623188406,0.01288244766505636,0.011272141706924315,0.011272141706924315,0.011272141706924315,0.00966183574879227,0.00966183574879227,0.00966183574879227,0.008051529790660225,0.008051529790660225,0.008051529790660225
117,Phyllis,know,dont,get,michael,good,season,thats,think,want,mean,like,well,day,erin,look,7,0.021148036253776436,0.01661631419939577,0.015105740181268883,0.013595166163141994,0.012084592145015106,0.010574018126888218,0.010574018126888218,0.010574018126888218,0.00906344410876133,0.00906344410876133,0.00906344410876133,0.00906344410876133,0.00906344410876133,0.00906344410876133,0.00906344410876133
118,Phyllis,dont,season,know,think,cant,mean,one,andy,go,make,thats,client,thing,like,say,8,0.02526315789473684,0.016842105263157894,0.016842105263157894,0.01263157894736842,0.01263157894736842,0.01263157894736842,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.008421052631578947,0.008421052631578947,0.008421052631578947,0.008421052631578947
119,Phyllis,andy,dont,know,season,he,dwight,good,mean,year,come,theyre,think,guy,hand,could,9,0.021241830065359478,0.017973856209150325,0.016339869281045753,0.014705882352941176,0.013071895424836602,0.013071895424836602,0.00980392156862745,0.00980392156862745,0.008169934640522876,0.008169934640522876,0.008169934640522876,0.008169934640522876,0.008169934640522876,0.006535947712418301,0.006535947712418301
120,Ryan,like,dont,want,thats,ryan,would,dwight,one,well,computer,mean,blue,fine,ball,bottle,1,0.042682926829268296,0.03048780487804878,0.024390243902439025,0.018292682926829267,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.012195121951219513
121,Ryan,dont,know,really,got,michael,think,cool,whoa,whats,go,looking,want,actually,lot,jim,2,0.019161676646706587,0.017964071856287425,0.01437125748502994,0.011976047904191617,0.011976047904191617,0.010778443113772455,0.009580838323353293,0.009580838323353293,0.008383233532934131,0.008383233532934131,0.008383233532934131,0.008383233532934131,0.00718562874251497,0.00718562874251497,0.00718562874251497
